Câu hỏi,Trả lời
Dùng nước giặt này có làm mềm quần áo không?,"Chào bạn, Nước giặt xả Docilee tích hợp 2 công nghệ giặt sạch và xả thơm giúp quần áo mềm mại, lành tính với làn da bé. Hương thơm nhẹ nhàng lưu trên quần áo giúp bé chơi ngoan và ngủ ngon hơn."
Nước giặt có lưu hương lâu không?,"Chào bạn, Nước giặt xả Docilee có thể lưu hương đến 168 giờ ạ."
,
Bé nhà mình đang bị mẩn da/các vấn đề về da thì có giặt quần áo bằng loại nước giặt này được không?,"Chào bạn, Nước giặt xả quần áo em bé Docilee được chiết xuất từ các thành phần tự nhiên như lô hội, dầu dừa, bột ngô nên lành tính với làn da của em bé. Tuy nhiên nếu em bé đang gặp phải các vấn đề về da nghiêm trọng, ba mẹ cân nhắc cho bé đi khám và tham khảo ý kiến bác sĩ ạ. "
3 loại nước giặt có gì khác nhau?,"Chào bạn, Nước giặt xả Docilee có công dụng làm sạch thơm quần áo em bé và cả gia đình. Hiện nay Nước giặt Docilee có 3 màu mùi hương khác nhau ạ:
- Nước giặt xả Docilee Happy Sky (Xanh lá): Hương Xoài và Hoa quả tươi mát dịu nhẹ giúp bé chơi ngoan.
- Nước giặt xả Docilee Funny Bee (Vàng): Hương Phấn thơm kết hợp với hương hoa Pháp và thêm chút hương Mật ong ngọt ngào.
- Nước giặt xả Docilee Bright Star (Tím): Hương Phấn thơm kết hợp với hương hoa Tulip giúp bé ngủ ngon."
Sản phẩm có dùng được cho quần áo trắng và quần áo màu không?,"Chào bạn! Nước giặt xả Docilee phù hợp làm sạch thơm quần áo bé và cả gia đình. Sản phẩm dùng được cho quần áo trắng và quần áo màu. Tuy nhiên, để tránh bị lem màu, phai màu và giữ cho quần áo trắng luôn trắng sáng bạn nên giặt riêng đồ trắng và đồ màu ra nhé ạ. "
Nước giặt mùi hương không thơm,"Chào bạn, Docilee cảm ơn bạn đã phản ánh về vấn đề gặp phải. Trước tiên bạn vui lòng gửi video quay chụp mở đơn hàng, chụp ảnh nhãn trước, nhãn sau và tem tiếng Việt sản phẩm để bước đầu xác minh sản phẩm chính hãng.

Trường hợp bạn thấy sản phẩm không được thơm, bạn vui lòng kiểm tra vệ sinh lồng giặt, không phơi trong điều kiện thời tiết ẩm ướt, không có nắng và sử dụng sản phẩm theo đúng hướng dẫn sử dụng.

Ngoài ra, sản phẩm Nước giặt xả quần áo em bé Docilee được thiết kế phù hợp cho các bé từ sơ sinh đến lớn nên mùi hương sau giặt lưu lại cũng rất nhẹ nhàng, thoang thoảng và dễ chịu ạ."
Nước giặt loãng quá,"Chào bạn! Trước tiên, bạn vui lòng gửi video quay sản phẩm và cho Shop biết bạn mua sản phẩm đó ở đâu không ạ?
 
Sau đây, Docilee xin phép được giải đáp thắc mắc của bạn như sau:
+ Nước giặt xả quần áo em bé Docilee được sản xuất theo tiêu chuẩn nhà máy tại Thái Lan và tuân thủ các quy trình nghiêm ngặt để đảm bảo chất lượng sản phẩm. 
+ Kết cấu dung dịch nước giặt xả Docilee dạng gel vừa phải. Đặc biệt, với các thành phần chiết xuất từ tự nhiên như Lô hội, Dầu dừa và Bột ngô, không Paraben, giúp làm sạch và mềm thơm quần áo, lành tính dịu nhẹ với làn của bé.
+ Bạn lưu ý tránh để nước giặt ở nơi có nhiệt độ cao, trực tiếp dưới ánh nắng mặt trời hoặc nơi ẩm ướt.
+ Nếu bạn mua nước giặt xả Docilee tại gian hàng chính hãng này, hoặc tại các cửa hàng đại lý mẹ bé lớn uy tín, bạn có thể yên tâm sử dụng sản phẩm cho bé và cả gia đình ạ. 
Cảm ơn bạn đã chia sẻ phản ánh để Shop được hỗ trợ xử lý kịp thời."
Nước giặt bị sủi bọt sau khi mở nắp,"Chào bạn, Docilee cảm ơn bạn đã phản ánh về vấn đề gặp phải. Hiện tượng sủi bọt có thể xảy ra khi sản phẩm bị rung lắc trong quá trình vận chuyển. Tuy nhiên yếu tố trên không ảnh hưởng đến chất lượng và đặc tính của sản phẩm. Bạn có thể yên tâm sử dụng sản phẩm ạ."
Nước giặt có màu sắc gì? Tại sao nước giặt chuyển màu vàng đậm?,"Chào bạn, Dung dịch Nước giặt xả quần áo em bé Docilee có màu vàng nhạt. Tuy nhiên, có thể có sự thay đổi màu nhất định (chuyển sang màu đậm hơn) nếu sản phẩm được bảo quản trong nhiệt độ cao hoặc tiếp xúc lâu dưới ánh nắng mặt trời. Nhưng sự thay đổi này không làm ảnh hưởng đến chất lượng và công năng của sản phẩm. Bạn có thể yên tâm sử dụng sản phẩm ạ."
Nước rửa bình này là loại có mùi hay không mùi?,"Chào bạn, Nước rửa bình sữa Docilee chứa Aloe Vera (Lô Hội) và Lauryl Glucose được chiết xuất từ bột Ngô, dầu Dừa đánh bay các chất cặn, vết mỡ, protein bám trên mặt để làm sạch bình sữa, núm ti, đồ chơi và các vật dụng khác của bé. Sản phẩm có mùi hương tự nhiên nhẹ nhàng dễ chịu ạ."
Có tạo bọt nhiều không?,"Chào bạn, Nước rửa bình sữa Docilee với công thức chứa Aloe Vera (Lô Hội) và Lauryl Glucose được chiết xuất từ bột Ngô, dầu Dừa tạo bọt vừa đủ với lớp bọt mịn, bông xốp giúp làm sạch hiệu quả các vết bẩn, dầu mỡ và cặn sữa bám trên bình mà không gây nhờn dính. Nhờ vậy, bạn có thể dễ dàng rửa sạch mà không cần kỳ cọ quá nhiều, tiết kiệm thời gian và dịu nhẹ với da tay."
"Có thể dùng nước rửa này cho cả gia đình (bát đũa, trái cây) không?","Chào bạn, Nước rửa bình sữa Docilee chứa Aloe Vera (Lô Hội) và Lauryl Glucose được chiết xuất từ bột Ngô, dầu Dừa đánh bay các chất cặn, vết mỡ, protein bám trên mặt để làm sạch bình sữa, núm ti, đồ chơi và các vật dụng khác của bé. Sản phẩm có thể dùng rửa bát đũa cho cả gia đình. Đối với hoa quả và rau củ bạn nên sử dụng nước sạch và dung dịch rửa chuyên dụng phù hợp"
